Comment,Designator,Footprint,LCSC
Buzzer,BZ1,Buzzer_Murata_PKLCS1212E,C113159
10k,R11,R_0805_2012Metric,C17414
0R,R12,R_0805_2012Metric,C17477
1k,"R10,R13,R5,R6,R7,R8,R9",R_0805_2012Metric,C17513
22k,R4,R_0805_2012Metric,C17560
330,R3,R_0805_2012Metric,C17630
MMBT3904,Q1,SOT-23,C20526
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2765186
5K1,"R1,R2",R_0805_2012Metric,C27834
SW_Push,SW1,SW_SPST_TL3305A,C480315
0.1uF,"C1,C2,C3,C4,C5,C6,C7,C8,C9",C_0805_2012Metric,C49678
XC6206P332MR,U1,SOT-23,C5446
Fuse 200mA,F1,Fuse_1206_3216Metric,C69680
PWR,D1,LED_0805_2012Metric,C72043
STM32L053R8Tx,U2,LQFP-64_10x10mm_P0.5mm,C79207
LED,"D2,D3,D4",LED_0805_2012Metric,C84256
